question,answer,correct_answer
"Câu 13: Trong khoảng thời gian từ năm 1950 đến nửa đầu những năm 70 của thế kỉ XX, quốc gia có chính sách ủng hộ phong trào giải phóng dân tộc trên thế giới là",A. Anh.		B. Brunây.		C. Mĩ.				D. Liên Xô.,D
Câu 14: Lực lượng vũ trang được xây dựng ở Việt Nam trong giai đoạn 1939-1945 là,"A. Trung đội Cứu quốc quân I.		B. Việt Nam quang phục hội.
C. Mặt trận Dân chủ Đông Dương.		D. Mặt trận Tổ quốc Việt Nam.",A
Câu 15: Một trong những sự kiện diễn ra ở khu vực Đông Nam Á năm 1945 là,"A. Liên minh châu Âu (EU) được thành lập.
B. Lào tuyên bố độc lập.
C. Cộng đồng châu Âu (EC) ra đời.
D. Cộng đồng kinh tế châu Âu (EEC) ra đời.",B
"Câu 16: Sau Chiến tranh thế giới thứ hai, một trong những quốc gia ở châu Phi giành được độc lập là",A. Ấn Độ.		B. Ai Cập.		C. Nhật Bản.			D. Trung Quốc.,B
"Câu 17: Trong giai đoạn 1969-1973, Mĩ có hành động nào sau đây ở Việt Nam?","A. Lôi kéo tất cả các nước châu Phi tham chiến.
B. Lôi kéo tất cả các nước châu Á tham chiến.
C. Vận động các nước Đông Âu tham chiếm.
D. Rút dần lực lượng quân Mĩ khỏi miền Nam.",D
"Câu 18: Trong chương trình khai thác thuộc địa lần thứ hai ở Đông Dương (1919-1929), thực dân Pháp","A. chỉ phát triển công nghiệp hóa chất.	B. coi trọng việc khai thác than.
C. tập trung vào công nghiệp luyện kim.	D. chỉ phát triển công nghiệp cơ khí.",B
Câu 19: Hội nghị lần thứ 21 Ban chấp hành Trung ương Đảng lao động Việt Nam (7/1973) đề ra chủ trương nào sau đây?,"A. Xóa bỏ cơ chế quản lí kinh tế tập trung.
B. Xóa bỏ cơ chế quản lí kinh tế bao cấp.
C. Phát triển kinh tế hàng hóa nhiều thành phần.
D. Tiếp tục cuộc cách mạng dân tộc dân chủ nhân dân.",D
"Câu 20: Trong chiến lược Chiến tranh đặc biệt (1961-1965) ở miền Nam Việt Nam, Mĩ đã","A. thực hiện kế hoạch Rơve.	       		
B. đề ra kế hoạch Đờ Lát đơ Tátxinhi.
C. thực hiện kế hoạch quân sự Bôlae.  	
D. tăng cường viện trợ cho chính quyền Sài Gòn.",C
Câu 21: Phong trào Cần Vương cuối thế kỉ XIX ở Việt Nam bùng nổ sau khi,"A. phái chủ chiến phản công quân Pháp tại Huế thất bại.
B. Đông Dương Cộng sản liên đoàn thành lập. 
C. Việt Nam Quốc dân đảng hoàn toàn tan rã.
D. khởi nghĩa Yên Bái hoàn toàn thất bại.",A
"Câu 22: Trong những năm 1976-1986, nhân dân Việt Nam thực hiện một trong những nhiệm vụ nào sau đây?","A. Xây dựng Hội Liên Việt.			B. Bảo vệ biên giới phía Bắc.
C. Xây dựng Quỹ Độc lập.			D. Bầu Quốc hội khóa I.",B
Câu 23: Sự kiện lịch sử thế giới nào sau đây có ảnh hưởng đến cách mạng Việt Nam trong thời kì 1939-1945?,"A. Nước Cộng hòa Ấn Độ thành lập.		
B. Chiến tranh thế giới thứ hai bùng nổ.
C. Liên Xô phóng thành công vệ tinh nhân tạo.
D. Nước Cộng hòa Nhân dân Trung Hoa ra đời.",B
Câu 24: Thắng lợi của phong trào Đồng khởi (1959-1960) ở miền Nam Việt Nam đã,"A. đánh dấu cuộc kháng chiến chống Pháp thắng lợi hoàn toàn.
B. buộc Pháp phải chuyển sang đánh lâu dài ở Đông Dương.
C. làm thất bại cuộc tiến công của quân Pháp lên Việt Bắc.
D. làm lung lay tận gốc chính quyền tay sai Ngô Đình Diệm.",D
Câu 25: Nội dung nào sau đây không phản ánh đúng về chiến thắng Điện Biên Phủ 1954 của Việt Nam?,"A. Giáng đòn quyết định vào ý chí xâm lược của thực dân Pháp.
B. Làm phá sản hoàn toàn kế hoạch Na va của Pháp.
C. Hoàn thành nhiệm vụ “đánh cho Mĩ cút, đánh cho ngụy nhào”.
D. Làm xoay chuyển cục diện chiến tranh ở Đông Dương.",C
Câu 26: Nội dung nào sau đây là một trong những yếu tố dẫn đến sự phát triển kinh tế của Nhật Bản giai đoạn 1952-1973?,"A. Chi phí ngân sách cho quốc phòng thấp.
B. Tận dụng được nguyên liệu từ các thuộc địa.
C. Tài nguyên khoáng sản phong phú, trữ lượng lớn.
D. Không bị Chiến tranh thế giới thứ hai tàn phá.",A
Câu 27: Nội dung nào sau đây là một trong những yếu tố dẫn đến thắng lợi của phong trào giải phóng dân tộc ở châu Phi sau Chiến tranh thế giới thứ hai?,"A. Quần chúng nhân dân tham gia đông đảo.
B. Có sự viện trợ của tất cả các nước Mĩ Latinh.
C. Nhận được viện trợ của các nước Đông Dương.
D. Nhận được viện trợ của tất cả các nước châu Âu.",A
Câu 28: Nội dung nào sau đây phản ánh không đúng về phong trào cách mạng 1930-1931 ở Việt Nam? ,"A. Khẳng định đường lối cách mạng của Đảng Cộng sản là đúng đắn.
B. Chứng minh vai trò của khối liên minh công nông trong thực tiễn.
C. Khẳng định trong thực tiễn quyền lãnh đạo của giai cấp công nhân.
D. Mở ra kỉ nguyên mới của dân tộc: kỉ nguyên độc lập, tự do.",D
Câu 29: Sự kiện lịch sử thế giới nào sau đây có ảnh hưởng đến cách mạng Việt Nam trong thời kì 1919-1930?,"A. Liên hợp quốc thành lập.			B. Quốc tế Cộng sản được thành lập.
C. Hiệp ước an ninh Mĩ - Nhật được kí kết.	D. Xu thế toàn cầu hóa xuất hiện.",B
"Câu 30: Trong thời kì 1919-1930, kinh tế Việt Nam","A. phát triển vượt trội so với kinh tế Pháp.  	B. phổ biến trong tình trạng nghèo nàn.
C. có tốc độ phát triển nhanh nhất thế giới.  	D. phát triển cân đối giữa các vùng, miền.",B
Câu 31: Cuộc vận động dân chủ 1936-1939 ở Việt Nam là một phong trào cách mạng vì một trong những lí do nào sau đây?,"A. Bước đầu thành lập được các hội Cứu quốc ở một số địa phương.
B. Trực tiếp ngăn chặn quân phiệt Nhật Bản tiến vào Đông Dương.
C. Có sự kết hợp chặt chẽ giữa đấu tranh chính trị với đấu tranh vũ trang.
D. Thực hiện mục tiêu trước mắt để hướng tới mục tiêu chiến lược.",D
Câu 32: Thực tiễn quá trình xây dựng các mặt trận dân tộc thống nhất trong tiến trình cách mạng Việt Nam (1930-1975) cho thấy,"A. mặt trận là một khối đoàn kết không có mâu thuẫn và đấu tranh nội bộ.
B. các thành viên tự nguyên tham gia mặt trận, do nhà nước trực tiếp quản lí.
C. các lực lượng tập hợp trong mặt trận vừa thống nhất vừa có mâu thuẫn.
D. mặt trận được xây dựng thành công là nhờ xóa bỏ các mâu thuẫn giai cấp.",C
Câu 33: Phong trào cách mạng 1930-1931 đã để lại bài học kinh nghiệm nào sau đây cho sự nghiệp giải phóng dân tộc ở Việt Nam?,"A. Không giải quyết quyền lợi giai cấp để tập trung vào vấn đề dân tộc.
B. Giải quyết nhiệm vụ dân chủ trước khi thực hiện nhiệm vụ dân tộc.
C. Chỉ phát lệnh khởi nghĩa khi có sự giúp đỡ từ bên ngoài.
D. Sử dụng bạo lực cách mạng để giành vầ giữ chính quyền.",D
Câu 34: Nội dung nào sau đây là một trong những điểm sáng tạo của Nguyễn Ái Quốc trong quá trình vận động thành lập Đảng Cộng sản Việt Nam?,"A. Tập hợp quần chúng thành lập mặt trận chung toàn Đông Dương.
B. Thành lập mặt trận dân tộc thống nhất ngay khi thành lập Đảng.
C. Xây dựng lí luận cách mạng nhấn mạnh cuộc đấu tranh giai cấp.
D. Xây dựng lí luận giải phóng dân tộc từ lí luận đấu tranh giai cấp.",D
"Câu 35: Trong phong trào dân tộc những năm 20 của thế kỉ XX, lực lượng tiểu tư sản trí thức Việt Nam có vai trò nào sau đây?","A. Là lực lượng nòng cốt của các tổ chức yêu nước, cách mạng.
B. Vận động quần chúng tham gia vào mặt trận dân tộc dân chủ.
C. Châm ngòi cho cuộc cách mạng dân chủ tư sản bùng nổ.
D. Lãnh đạo cuộc khởi nghĩa vũ trang để khôi phục nền cộng hòa.",A
"Câu 36: Trong khoảng thời gian từ đầu 9-1945 đến cuối 12-1946, nước Việt Nam Dân chủ Cộng hòa gặp trở ngại nào sau đây?","A. Mĩ biến Việt Nam thành tâm điểm của cục diện hai cực, hai phe.
B. Việt Nam nằm trong khu vực ảnh hưởng của các nước phương Tây.
C. Chỉ có một số nước Đồng minh công khai ủng hộ Việt Nam độc lập.
D. Mĩ viện trợ cho Pháp trong cuộc chiến tranh xâm lược Đông Dương.",B
Câu 37: Nhận xét nào sau đây là đúng về bản Hiệp định Sơ bộ Việt - Pháp (6/3/1946)?,"A. Công nhận Việt Nam là một quốc gia tự do, có quyền dân tộc tự quyết.
B. Là sách lược của Việt Nam để tiếp tục kéo dài thời gian hòa hoãn với Pháp.
C. Biến một hiệp ước hai bên thành thỏa thuận ba bên có lợi cho cách mạng.
D. Chuyển Pháp từ vị trí đối tác trở thành đối tượng của cách mạng Việt Nam.",C
Câu 38: Tính chất dân chủ của các Xô viết ở Nghệ An và Hà Tĩnh (1930-1931) biểu hiện qua một trong những hoạt động nào sau đây?,"A. Thực hiện chính sách bảo đảm quyền lợi về kinh tế cho nhân dân.
B. Xóa bỏ các giai cấp bóc lột, đưa nhân dân lên nắm chính quyền.
C. Xóa bỏ quyền chiếm hữu ruộng đất của giai cấp địa chủ phong kiến.
D. Thành lập chính quyền cách mạng của nhân dân, do nhân dân bầu ra.",A
"Câu 39: Cuộc kháng chiến chống Mĩ, cứu nước (1954-1975) và cuộc vận động giải phóng dân tộc (1939-1945) ở Việt Nam có điểm giống nhau nào sau đây?","A. Có sự kết hợp chặt chẽ giữa hậu phương và tiền tuyến.
B. Là các cuộc chiến tranh giải phóng dân tộc và bảo vệ Tổ quốc.
C. Có sự kết hợp hai địa bàn chiến lược nông thôn và thành thị.
D. Từ khởi nghĩa từng phần phát triển lên chiến tranh cách mạng.",B
Câu 40: Nội dung nào sau đây phản ánh đúng chính sách nhất quán của thực dân Pháp trong các cuộc khai thác thuộc địa ở Đông Dương?,"A. Không đầu tư vốn vào các ngành kinh tế có tính chất hiện đại.
B. Hạn chế tối đa nguồn vốn đầu tư của tư bản tư nhân Pháp.
C. Không du nhập hoàn chỉnh phương thức sản xuất mới vào thuộc địa.
D. Xóa bỏ phương thức sản xuất cũ để xác lập quan hệ sản xuất mới.",D
